,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
107,2018-05-01,금천구,28157.0,2018-05-01 00:00:00,금천구,1.0
108,2018-05-01,노원구,49000.0,2018-05-01 00:00:00,노원구,9.0
109,2018-05-01,도봉구,32034.0,2018-05-01 00:00:00,도봉구,6.0
110,2018-05-01,동대문구,15568.0,2018-05-01 00:00:00,동대문구,14.0
111,2018-05-01,동작구,16322.0,2018-05-01 00:00:00,동작구,5.0
112,2018-05-01,마포구,29881.0,2018-05-01 00:00:00,마포구,3.0
113,2018-05-01,서대문구,50036.0,2018-05-01 00:00:00,서대문구,2.0
114,2018-05-01,서초구,60974.0,2018-05-01 00:00:00,서초구,2.0
115,2018-05-01,성동구,29602.0,2018-05-01 00:00:00,성동구,7.0
116,2018-05-01,성북구,43888.0,2018-05-01 00:00:00,성북구,5.0
117,2018-05-01,송파구,52114.0,2018-05-01 00:00:00,송파구,17.0
118,2018-05-01,양천구,34489.0,2018-05-01 00:00:00,양천구,6.0
119,2018-05-01,영등포구,33235.0,2018-05-01 00:00:00,영등포구,13.0
120,2018-05-01,용산구,23595.0,2018-05-01 00:00:00,용산구,3.0
121,2018-05-01,은평구,21692.0,2018-05-01 00:00:00,은평구,3.0
122,2018-05-01,종로구,53640.0,2018-05-01 00:00:00,종로구,1.0
123,2018-05-01,중구,39047.0,2018-05-01 00:00:00,중구,5.0
124,2018-05-01,중랑구,22200.0,2018-05-01 00:00:00,중랑구,7.0
125,2018-06-01,강남구,49213.0,2018-06-01 00:00:00,강남구,12.0
126,2018-06-01,강동구,44996.0,2018-06-01 00:00:00,강동구,12.0
127,2018-06-01,강북구,38927.0,2018-06-01 00:00:00,강북구,8.0
128,2018-06-01,강서구,75916.0,2018-06-01 00:00:00,강서구,8.0
129,2018-06-01,관악구,33088.0,2018-06-01 00:00:00,관악구,3.0
130,2018-06-01,광진구,44138.0,2018-06-01 00:00:00,광진구,10.0
131,2018-06-01,구로구,62711.0,2018-06-01 00:00:00,구로구,7.0
132,2018-06-01,금천구,37058.0,2018-06-01 00:00:00,금천구,4.0
133,2018-06-01,노원구,62864.0,2018-06-01 00:00:00,노원구,10.0
134,2018-06-01,도봉구,41396.0,2018-06-01 00:00:00,도봉구,3.0
135,2018-06-01,동대문구,21814.0,2018-06-01 00:00:00,동대문구,17.0
136,2018-06-01,동작구,19938.0,2018-06-01 00:00:00,동작구,9.0
137,2018-06-01,마포구,43449.0,2018-06-01 00:00:00,마포구,4.0
138,2018-06-01,서대문구,66523.0,2018-06-01 00:00:00,서대문구,6.0
139,2018-06-01,서초구,78612.0,2018-06-01 00:00:00,서초구,4.0
140,2018-06-01,성동구,36981.0,2018-06-01 00:00:00,성동구,8.0
141,2018-06-01,성북구,53202.0,2018-06-01 00:00:00,성북구,4.0
142,2018-06-01,송파구,69049.0,2018-06-01 00:00:00,송파구,32.0
143,2018-06-01,양천구,45947.0,2018-06-01 00:00:00,양천구,5.0
144,2018-06-01,영등포구,44295.0,2018-06-01 00:00:00,영등포구,15.0
145,2018-06-01,용산구,31364.0,2018-06-01 00:00:00,용산구,7.0
146,2018-06-01,은평구,29994.0,2018-06-01 00:00:00,은평구,7.0
147,2018-06-01,종로구,65989.0,2018-06-01 00:00:00,종로구,3.0
148,2018-06-01,중구,47544.0,2018-06-01 00:00:00,중구,1.0
149,2018-06-01,중랑구,29640.0,2018-06-01 00:00:00,중랑구,7.0
150,2018-07-01,강남구,44392.0,2018-07-01 00:00:00,강남구,5.0
151,2018-07-01,강동구,40198.0,2018-07-01 00:00:00,강동구,2.0
152,2018-07-01,강북구,35679.0,2018-07-01 00:00:00,강북구,5.0
153,2018-07-01,강서구,69375.0,2018-07-01 00:00:00,강서구,8.0
154,2018-07-01,관악구,29659.0,0,0,0.0
155,2018-07-01,광진구,39483.0,2018-07-01 00:00:00,광진구,5.0
156,2018-07-01,구로구,59757.0,2018-07-01 00:00:00,구로구,6.0
157,2018-07-01,금천구,35255.0,2018-07-01 00:00:00,금천구,3.0
158,2018-07-01,노원구,57211.0,2018-07-01 00:00:00,노원구,7.0
159,2018-07-01,도봉구,38257.0,2018-07-01 00:00:00,도봉구,2.0
160,2018-07-01,동대문구,19840.0,2018-07-01 00:00:00,동대문구,9.0
161,2018-07-01,동작구,17998.0,2018-07-01 00:00:00,동작구,5.0
162,2018-07-01,마포구,40528.0,2018-07-01 00:00:00,마포구,3.0
163,2018-07-01,서대문구,57002.0,2018-07-01 00:00:00,서대문구,5.0
164,2018-07-01,서초구,69645.0,2018-07-01 00:00:00,서초구,2.0
165,2018-07-01,성동구,33429.0,2018-07-01 00:00:00,성동구,3.0
166,2018-07-01,성북구,47474.0,2018-07-01 00:00:00,성북구,2.0
167,2018-07-01,송파구,64907.0,2018-07-01 00:00:00,송파구,16.0
168,2018-07-01,양천구,42175.0,2018-07-01 00:00:00,양천구,5.0
169,2018-07-01,영등포구,41451.0,2018-07-01 00:00:00,영등포구,24.0
170,2018-07-01,용산구,29791.0,2018-07-01 00:00:00,용산구,4.0
171,2018-07-01,은평구,26485.0,2018-07-01 00:00:00,은평구,8.0
172,2018-07-01,종로구,59425.0,2018-07-01 00:00:00,종로구,1.0
173,2018-07-01,중구,43928.0,2018-07-01 00:00:00,중구,1.0
174,2018-07-01,중랑구,26883.0,2018-07-01 00:00:00,중랑구,10.0
175,2018-08-01,강남구,41451.0,2018-08-01 00:00:00,강남구,3.0
176,2018-08-01,강동구,38252.0,2018-08-01 00:00:00,강동구,4.0
177,2018-08-01,강북구,34082.0,2018-08-01 00:00:00,강북구,7.0
178,2018-08-01,강서구,66855.0,2018-08-01 00:00:00,강서구,9.0
179,2018-08-01,관악구,26917.0,2018-08-01 00:00:00,관악구,1.0
180,2018-08-01,광진구,36171.0,2018-08-01 00:00:00,광진구,4.0
181,2018-08-01,구로구,57958.0,2018-08-01 00:00:00,구로구,4.0
182,2018-08-01,금천구,33603.0,2018-08-01 00:00:00,금천구,3.0
183,2018-08-01,노원구,53271.0,2018-08-01 00:00:00,노원구,9.0
184,2018-08-01,도봉구,35185.0,2018-08-01 00:00:00,도봉구,6.0
185,2018-08-01,동대문구,18680.0,2018-08-01 00:00:00,동대문구,7.0
